id,name,name_en,country,province,longitude,latitude,timezone,population,capital
99,榆林,Yulin,China,陕西,110.1507,22.6293,Asia/Shanghai,5849700,minor
100,常德,Changde,China,湖南,111.6839,29.0397,Asia/Shanghai,5827200,minor
101,安卡拉,Ankara,Turkey,Ankara,32.8387,39.9358,Europe/Istanbul,5803482,primary
102,岳阳,Yueyang,China,湖南,113.1309,29.3647,Asia/Shanghai,5797100,minor
103,费城,Philadelphia,United States,Pennsylvania,-75.1339,40.0077,America/New_York,5782653,
104,Douala,Douala,Cameroon,Littoral,9.7,4.05,UTC,5768400,admin
105,曲靖,Qujing,China,云南,103.8029,25.5102,Asia/Shanghai,5765775,
106,亚的斯亚贝巴,Addis Ababa,Ethiopia,Ādīs Ābeba,38.7525,9.0358,Africa/Addis_Ababa,5704000,primary
107,襄阳,Xiangyang,China,湖北,112.1531,32.0654,Asia/Shanghai,5680000,minor
108,多伦多,Toronto,Canada,Ontario,-79.3733,43.7417,America/Toronto,5647656,admin
109,郑州,Zhengzhou,China,河南,113.6605,34.7492,Asia/Shanghai,5621594,admin
110,阿比让,Abidjan,Côte d’Ivoire,Abidjan,-4.0267,5.3364,Africa/Abidjan,5616633,primary
111,德州,Dezhou,China,山东,116.3105,37.4513,Asia/Shanghai,5611194,minor
112,南充,Nanchong,China,四川,106.0784,30.7991,Asia/Shanghai,5607565,minor
113,圣彼得堡,Saint Petersburg,Russia,Sankt-Peterburg,30.3167,59.95,Europe/Moscow,5601911,admin
114,揭阳,Jieyang,China,广东,116.3649,23.5533,Asia/Shanghai,5577814,minor
115,宜春,Yichun,China,江西,114.383,27.8041,Asia/Shanghai,5573200,minor
116,内罗毕,Nairobi,Kenya,Nairobi City,36.8172,-1.2864,Africa/Nairobi,5545000,primary
117,瓜达拉哈拉,Guadalajara,Mexico,Jalisco,-103.3422,20.6764,America/Mexico_City,5525000,admin
118,泰安,Tai'an,China,山东,117.0809,36.2001,Asia/Shanghai,5472217,
119,达州,Dazhou,China,四川,107.4947,31.2152,Asia/Shanghai,5468097,minor
120,廊坊,Langfang,China,河北,116.7006,39.5196,Asia/Shanghai,5464087,minor
121,悉尼,Sydney,Australia,New South Wales,151.21,-33.8678,Australia/Sydney,5450496,admin
122,亚历山大,Alexandria,Egypt,Al Iskandarīyah,29.8925,31.1975,Africa/Cairo,5441866,admin
123,绥化,Suihua,China,黑龙江,126.9808,46.6384,Asia/Shanghai,5418153,minor
124,齐齐哈尔,Qiqihar,China,黑龙江,123.9512,47.3398,Asia/Shanghai,5367003,minor
125,墨尔本,Melbourne,Australia,Victoria,144.9631,-37.8142,Australia/Sydney,5350705,admin
126,Kabul,Kabul,Afghanistan,Kābul,69.1658,34.5328,Asia/Kabul,5333284,primary
127,贝洛奥里藏特,Belo Horizonte,Brazil,Minas Gerais,-43.9419,-19.9281,America/Sao_Paulo,5328000,admin
128,宿州,Suzhou,China,安徽,116.9683,33.6333,Asia/Shanghai,5324476,
129,蒙特雷,Monterrey,Mexico,Nuevo León,-100.3181,25.6844,America/Mexico_City,5324281,admin
130,Dortmund,Dortmund,Germany,North Rhine-Westphalia,7.4653,51.5139,Europe/Berlin,5302179,minor
